site_name,corridor,veg_complexity,LFT_dist,H2O_dist,WV_dist,MV_dist,WVF_dist,WVO_dist,BUFF_DIST,ORIG_FID,SHAPE_Length,SHAPE_Area,built,DEM_median,DEM_mean,NDVI_median,NDVI_mean,POP_median,POP_mean,WVO_PA,WVF_PA,MV_PA,Fdec_PA,Fmix_PA,Fcon_PA
TUW30,0,2,0,910.2722428,70.30408377,320.8722762,70.30408377,241.1408005,2000,32,12566.37061,12566370.61,0.217039361,124,128.4159698,0.317690939,0.319933307,307.5963898,439.7754219,0.010916179,0.130573905,0.069117171,0.031867307,0.075641629,0.015505542
TUW31,1,4,19.73735543,802.7144964,0,406.6007805,0,159.0176045,2000,33,12566.37061,12566370.61,0.209801786,124,127.1090851,0.323634833,0.326212209,300.1573029,429.1721362,0.016752401,0.148456122,0.067689269,0.043121956,0.08125238,0.015505339
TUW32,0,1,0,1026.160371,197.726942,14.20759986,397.5513088,197.726942,2000,34,12566.37061,12566370.61,0.255142625,122,126.9621582,0.293985143,0.289448511,339.709137,486.7950682,0.00495766,0.096360891,0.0426821,0.012374769,0.066919322,0.010279684
TUW33,0,1,0,1191.6685,256.5925118,67.20138441,256.5925118,1176.822779,2000,35,12566.37061,12566370.61,0.180367628,146,143.9461212,0.307875901,0.319866458,250.6205902,296.9751324,0.015120496,0.143149999,0.058350638,0.013379947,0.089821143,0.011096797
TUW33b,0,2,0,216.4136571,2.257146843,450.2659882,2.257146843,143.4174905,2000,36,12566.37061,12566370.61,0.151628801,130,127.9705582,0.317597374,0.323367654,117.3424759,177.7281075,0.074177917,0.243787545,0.057105265,0.059276352,0.116931891,0.012309024
TUW33c,0,0,0,242.8309753,111.7203332,828.9848873,111.7203332,172.3848034,2000,37,12566.37061,12566370.61,0.163246549,129,125.5421524,0.284191966,0.301364079,114.0644569,179.2595589,0.080086003,0.22059629,0.048937385,0.068111038,0.096252482,0.008815864
TUW34,0,4,45.5783897,763.2947903,12.05928922,0,12.05928922,599.0689992,2000,38,12566.37061,12566370.61,0.204231554,153,150.5116425,0.30200997,0.307241141,304.0939941,429.7660733,0.005178813,0.100841901,0.049909547,0.010684684,0.066028591,0.012627587
TUW35,0,4,0,775.4069478,0,148.4541365,0,815.2371936,2000,39,12566.37061,12566370.61,0.17420504,149,146.439209,0.318710342,0.328349901,212.259903,328.2186452,0.015599571,0.149088189,0.058762678,0.013377303,0.09572258,0.012455587
TUW35b,1,4,0,355.945766,32.42352968,518.6328563,32.42352968,299.2232618,2000,40,12566.37061,12566370.61,0.137689475,136,134.7621613,0.343151689,0.346263423,144.0846558,183.6826685,0.043207873,0.22049177,0.09037714,0.019505965,0.134842855,0.014856676
TUW36,0,1,0,295.6927355,30.01587989,1023.665354,30.01587989,42.99952219,2000,41,12566.37061,12566370.61,0.106036218,142,139.3263702,0.383789718,0.384450539,68.05277252,89.66773263,0.026046281,0.234530293,0.075717558,0.028785665,0.138393498,0.014734279
TUW36b,0,2,0,315.5140012,60.84601742,564.6244473,60.84601742,320.5275072,2000,42,12566.37061,12566370.61,0.099374629,141,138.4483795,0.394935936,0.387392562,56.78495026,80.01477843,0.029127173,0.273604429,0.067045684,0.035835943,0.158744492,0.017646939
TUW37,1,4,0,6.427961369,0,613.5302094,0,14.78661208,2000,43,12566.37061,12566370.61,0.119660009,140,136.5405884,0.362017363,0.36147489,117.8430862,153.6532924,0.03731909,0.220120543,0.066094546,0.030333484,0.123052902,0.011807665
TUW37b,1,4,0,51.77209411,0,348.5658161,0,253.5554637,2000,44,12566.37061,12566370.61,0.131773698,139,134.9894867,0.355723068,0.352754935,116.8669014,155.5087104,0.042631827,0.212856144,0.065696251,0.032588866,0.11405748,0.013800168
TUW38,0,3,0,28.61604589,0,1075.988575,0,12.97925377,2000,45,12566.37061,12566370.61,0.114889589,142,139.6646729,0.368884534,0.37355191,105.216938,94.50913784,0.024816069,0.205638029,0.073418642,0.027785326,0.120228054,0.012252957
TUW38b,1,1,0,158.1235777,8.927855406,495.291168,8.927855406,1086.558097,2000,46,12566.37061,12566370.61,0.11836073,149,146.564209,0.359299093,0.375721326,70.17993164,93.03871495,0.015664044,0.182233685,0.063346831,0.0165837,0.108924178,0.008710662
TUW39,0,3,0,174.613999,0,578.9026375,0,100.6321715,2000,47,12566.37061,12566370.61,0.149971238,133,134.4892731,0.303856298,0.317580226,228.5264359,221.4834603,0.052181855,0.082712942,0.100584142,0.039966528,0.018647951,0.007185706
TUW40,0,1,0,239.0755104,104.6039622,6.755592703,664.4262319,104.6039622,2000,48,12566.37061,12566370.61,0.197275337,86,90.6979675,0.298849016,0.297867756,463.7336731,476.1321334,0.060735782,0.03312003,0.091364215,0.025269143,0.002201369,0
TUW41,1,0,0,26.04744216,9.233757479,445.0102777,58.45489008,9.233757479,2000,49,12566.37061,12566370.61,0.209357112,101,104.3968964,0.324211359,0.32122331,395.6526642,418.8056381,0.028932914,0.087862893,0.072385074,0.05112592,0.031369804,0.00198034
TUW42,0,1,12.39718601,499.0209296,53.72447191,580.3320562,53.72447191,288.2632662,2000,50,12566.37061,12566370.61,0.111296084,174,161.9241791,0.36409764,0.368449608,153.3488159,155.5802895,0.116249484,0.110874453,0.047599992,0.110874453,0,0
CPC_1,NA,2,1041.445202,17.37776126,0,1494.54014,24.9457293,0,2000,51,12566.37061,12566370.61,0.147938034,156,154.7336426,0.146187663,0.208335291,0,3.943151069,0.12110275,0.077429102,0.039112634,0.044366581,0,0.013831685
CPC_2,NA,3,25.98308056,142.1768467,0,633.0371588,9.738510054,0,2000,52,12566.37061,12566370.61,0.149004578,147,143.203064,0.285825491,0.312484812,234.1224365,317.0673572,0.073366422,0.174788604,0.048116708,0.048895925,0.0150383,0.009824961
CPC_3,NA,2,0,27.02866995,0,2423.094824,778.6642067,0,2000,53,12566.37061,12566370.61,0.029953136,77,77.0902252,0.28938511,0.280085591,0,0,0.609389031,0.006478645,0,0,0,0
CPC_4,NA,4,63.57382726,79.8163773,0,262.8640102,0,164.5023833,2000,54,12566.37061,12566370.61,0.108677445,137,133.8020325,0.386486247,0.376721843,87.9838562,124.699431,0.04448479,0.280787555,0.061593609,0.03690344,0.157014544,0.022333921
CPC_5,NA,3,0,1677.325882,27.02951285,393.0788472,27.02951285,880.9187461,2000,55,12566.37061,12566370.61,0.222788203,159,158.1795502,0.290041476,0.296920616,335.2360535,425.6098778,0.000344489,0.062455433,0.033054019,0.011734653,0.027467784,0.011643723
CPC_6,NA,3,44.01476471,98.22248043,0,520.5871281,0,737.6066725,2000,56,12566.37061,12566370.61,0.168389758,148,145.4602966,0.258771658,0.277572191,224.9232483,297.0026193,0.000103737,0.060246076,0.077705532,0.026256628,0.023725595,0.003949278
